Gene stable ID,Gene stable ID version,Gene description,Gene name
ENSMUSG00000101499,ENSMUSG00000101499.1,"vomeronasal 2, receptor, pseudogene 139 [Source:MGI Symbol;Acc:MGI:3761343]",Vmn2r-ps139
ENSMUSG00000101108,ENSMUSG00000101108.1,predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744],Gm29038
ENSMUSG00000100300,ENSMUSG00000100300.1,predicted gene 28191 [Source:MGI Symbol;Acc:MGI:5578897],Gm28191
ENSMUSG00000100683,ENSMUSG00000100683.1,predicted gene 28186 [Source:MGI Symbol;Acc:MGI:5578892],Gm28186
ENSMUSG00000102088,ENSMUSG00000102088.6,"predicted gene, 21064 [Source:MGI Symbol;Acc:MGI:5434419]",Gm21064
ENSMUSG00000099514,ENSMUSG00000099514.1,predicted gene 28241 [Source:MGI Symbol;Acc:MGI:5578947],Gm28241
ENSMUSG00000100446,ENSMUSG00000100446.1,predicted gene 28242 [Source:MGI Symbol;Acc:MGI:5578948],Gm28242
ENSMUSG00000102680,ENSMUSG00000102680.1,"predicted gene, 37222 [Source:MGI Symbol;Acc:MGI:5610450]",Gm37222
ENSMUSG00000099684,ENSMUSG00000099684.6,predicted gene 28356 [Source:MGI Symbol;Acc:MGI:5579062],Gm28356
ENSMUSG00000100984,ENSMUSG00000100984.1,predicted gene 28357 [Source:MGI Symbol;Acc:MGI:5579063],Gm28357
ENSMUSG00000100137,ENSMUSG00000100137.1,predicted gene 29352 [Source:MGI Symbol;Acc:MGI:5580058],Gm29352
ENSMUSG00000100958,ENSMUSG00000100958.1,predicted gene 29351 [Source:MGI Symbol;Acc:MGI:5580057],Gm29351
ENSMUSG00000099575,ENSMUSG00000099575.1,predicted gene 29350 [Source:MGI Symbol;Acc:MGI:5580056],Gm29350
ENSMUSG00000100597,ENSMUSG00000100597.1,predicted gene 29349 [Source:MGI Symbol;Acc:MGI:5580055],Gm29349
ENSMUSG00000099410,ENSMUSG00000099410.1,predicted gene 29355 [Source:MGI Symbol;Acc:MGI:5580061],Gm29355
ENSMUSG00000093927,ENSMUSG00000093927.2,"predicted gene, 20918 [Source:MGI Symbol;Acc:MGI:5434274]",Gm20918
ENSMUSG00000101212,ENSMUSG00000101212.1,predicted gene 29354 [Source:MGI Symbol;Acc:MGI:5580060],Gm29354
ENSMUSG00000101041,ENSMUSG00000101041.1,predicted gene 29353 [Source:MGI Symbol;Acc:MGI:5580059],Gm29353
ENSMUSG00000118417,ENSMUSG00000118417.1,"predicted gene, 50460 [Source:MGI Symbol;Acc:MGI:6324725]",Gm50460
ENSMUSG00000095693,ENSMUSG00000095693.1,"predicted gene, 21820 [Source:MGI Symbol;Acc:MGI:5433984]",Gm21820
ENSMUSG00000101611,ENSMUSG00000101611.1,predicted gene 29357 [Source:MGI Symbol;Acc:MGI:5580063],Gm29357
ENSMUSG00000101769,ENSMUSG00000101769.1,predicted gene 29356 [Source:MGI Symbol;Acc:MGI:5580062],Gm29356
ENSMUSG00000100792,ENSMUSG00000100792.1,predicted gene 29161 [Source:MGI Symbol;Acc:MGI:5579867],Gm29161
ENSMUSG00000099766,ENSMUSG00000099766.1,predicted gene 28767 [Source:MGI Symbol;Acc:MGI:5579473],Gm28767
ENSMUSG00000099726,ENSMUSG00000099726.1,predicted gene 29160 [Source:MGI Symbol;Acc:MGI:5579866],Gm29160
ENSMUSG00000101576,ENSMUSG00000101576.1,"predicted gene, 20915 [Source:MGI Symbol;Acc:MGI:5434271]",Gm20915
ENSMUSG00000102115,ENSMUSG00000102115.1,predicted gene 28766 [Source:MGI Symbol;Acc:MGI:5579472],Gm28766
ENSMUSG00000102102,ENSMUSG00000102102.1,predicted gene 29159 [Source:MGI Symbol;Acc:MGI:5579865],Gm29159
ENSMUSG00000098514,ENSMUSG00000098514.1,"predicted gene, 27663 [Source:MGI Symbol;Acc:MGI:5531045]",Gm27663
ENSMUSG00000099761,ENSMUSG00000099761.1,predicted gene 29158 [Source:MGI Symbol;Acc:MGI:5579864],Gm29158
ENSMUSG00000096706,ENSMUSG00000096706.2,"predicted gene, 21854 [Source:MGI Symbol;Acc:MGI:5434018]",Gm21854
ENSMUSG00000101805,ENSMUSG00000101805.1,predicted gene 28768 [Source:MGI Symbol;Acc:MGI:5579474],Gm28768
ENSMUSG00000101380,ENSMUSG00000101380.1,predicted gene 28769 [Source:MGI Symbol;Acc:MGI:5579475],Gm28769
ENSMUSG00000096268,ENSMUSG00000096268.2,"predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]",Gm20914
ENSMUSG00000100634,ENSMUSG00000100634.1,predicted gene 28171 [Source:MGI Symbol;Acc:MGI:5578877],Gm28171
ENSMUSG00000100056,ENSMUSG00000100056.1,predicted gene 28173 [Source:MGI Symbol;Acc:MGI:5578879],Gm28173
ENSMUSG00000102338,ENSMUSG00000102338.1,"predicted gene, 37236 [Source:MGI Symbol;Acc:MGI:5610464]",Gm37236
ENSMUSG00000101291,ENSMUSG00000101291.1,predicted gene 29194 [Source:MGI Symbol;Acc:MGI:5579900],Gm29194
ENSMUSG00000096036,ENSMUSG00000096036.2,"predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]",Gm21778
ENSMUSG00000102042,ENSMUSG00000102042.1,predicted gene 29195 [Source:MGI Symbol;Acc:MGI:5579901],Gm29195
ENSMUSG00000100878,ENSMUSG00000100878.1,predicted gene 29196 [Source:MGI Symbol;Acc:MGI:5579902],Gm29196
ENSMUSG00000099721,ENSMUSG00000099721.1,predicted gene 28435 [Source:MGI Symbol;Acc:MGI:5579141],Gm28435
ENSMUSG00000101619,ENSMUSG00000101619.1,predicted gene 28436 [Source:MGI Symbol;Acc:MGI:5579142],Gm28436
ENSMUSG00000100710,ENSMUSG00000100710.1,predicted gene 29197 [Source:MGI Symbol;Acc:MGI:5579903],Gm29197
ENSMUSG00000100292,ENSMUSG00000100292.1,predicted gene 29198 [Source:MGI Symbol;Acc:MGI:5579904],Gm29198
ENSMUSG00000101081,ENSMUSG00000101081.1,predicted gene 29193 [Source:MGI Symbol;Acc:MGI:5579899],Gm29193
ENSMUSG00000099815,ENSMUSG00000099815.1,predicted gene 28430 [Source:MGI Symbol;Acc:MGI:5579136],Gm28430
ENSMUSG00000118404,ENSMUSG00000118404.1,"predicted gene, 21746 [Source:MGI Symbol;Acc:MGI:5433910]",Gm21746
ENSMUSG00000101525,ENSMUSG00000101525.1,predicted gene 28593 [Source:MGI Symbol;Acc:MGI:5579299],Gm28593
ENSMUSG00000095148,ENSMUSG00000095148.2,"predicted gene, 20873 [Source:MGI Symbol;Acc:MGI:5434229]",Gm20873
ENSMUSG00000101707,ENSMUSG00000101707.1,predicted gene 28916 [Source:MGI Symbol;Acc:MGI:5579622],Gm28916
ENSMUSG00000100275,ENSMUSG00000100275.1,predicted gene 28915 [Source:MGI Symbol;Acc:MGI:5579621],Gm28915
ENSMUSG00000100472,ENSMUSG00000100472.1,predicted gene 28918 [Source:MGI Symbol;Acc:MGI:5579624],Gm28918
ENSMUSG00000100289,ENSMUSG00000100289.1,predicted gene 28917 [Source:MGI Symbol;Acc:MGI:5579623],Gm28917
ENSMUSG00000101243,ENSMUSG00000101243.1,predicted gene 28919 [Source:MGI Symbol;Acc:MGI:5579625],Gm28919
ENSMUSG00000079806,ENSMUSG00000079806.2,"predicted gene, 21719 [Source:MGI Symbol;Acc:MGI:5433883]",Gm21719
ENSMUSG00000100479,ENSMUSG00000100479.1,predicted gene 28921 [Source:MGI Symbol;Acc:MGI:5579627],Gm28921
ENSMUSG00000099352,ENSMUSG00000099352.1,predicted gene 28920 [Source:MGI Symbol;Acc:MGI:5579626],Gm28920
ENSMUSG00000101388,ENSMUSG00000101388.1,predicted gene 28444 [Source:MGI Symbol;Acc:MGI:5579150],Gm28444
ENSMUSG00000101055,ENSMUSG00000101055.1,predicted gene 28443 [Source:MGI Symbol;Acc:MGI:5579149],Gm28443
ENSMUSG00000096686,ENSMUSG00000096686.2,"predicted gene, 20830 [Source:MGI Symbol;Acc:MGI:5434186]",Gm20830
ENSMUSG00000099505,ENSMUSG00000099505.1,predicted gene 28442 [Source:MGI Symbol;Acc:MGI:5579148],Gm28442
ENSMUSG00000100161,ENSMUSG00000100161.1,predicted gene 28445 [Source:MGI Symbol;Acc:MGI:5579151],Gm28445
ENSMUSG00000102039,ENSMUSG00000102039.1,"predicted gene, 20788 [Source:MGI Symbol;Acc:MGI:5434144]",Gm20788
ENSMUSG00000101913,ENSMUSG00000101913.1,predicted gene 28999 [Source:MGI Symbol;Acc:MGI:5579705],Gm28999
ENSMUSG00000094484,ENSMUSG00000094484.2,"predicted gene, 21244 [Source:MGI Symbol;Acc:MGI:5434599]",Gm21244
ENSMUSG00000101479,ENSMUSG00000101479.1,predicted gene 28997 [Source:MGI Symbol;Acc:MGI:5579703],Gm28997
ENSMUSG00000100939,ENSMUSG00000100939.1,predicted gene 28998 [Source:MGI Symbol;Acc:MGI:5579704],Gm28998
ENSMUSG00000100262,ENSMUSG00000100262.1,predicted gene 28398 [Source:MGI Symbol;Acc:MGI:5579104],Gm28398
ENSMUSG00000100453,ENSMUSG00000100453.1,predicted gene 28397 [Source:MGI Symbol;Acc:MGI:5579103],Gm28397
ENSMUSG00000100858,ENSMUSG00000100858.1,predicted gene 28400 [Source:MGI Symbol;Acc:MGI:5579106],Gm28400
ENSMUSG00000099965,ENSMUSG00000099965.1,predicted gene 28399 [Source:MGI Symbol;Acc:MGI:5579105],Gm28399
ENSMUSG00000100948,ENSMUSG00000100948.1,predicted gene 28395 [Source:MGI Symbol;Acc:MGI:5579101],Gm28395
ENSMUSG00000118447,ENSMUSG00000118447.1,"predicted gene, 21788 [Source:MGI Symbol;Acc:MGI:5433952]",Gm21788
ENSMUSG00000100961,ENSMUSG00000100961.1,predicted gene 28394 [Source:MGI Symbol;Acc:MGI:5579100],Gm28394
ENSMUSG00000100806,ENSMUSG00000100806.1,predicted gene 28396 [Source:MGI Symbol;Acc:MGI:5579102],Gm28396
ENSMUSG00000101521,ENSMUSG00000101521.1,predicted gene 28393 [Source:MGI Symbol;Acc:MGI:5579099],Gm28393
ENSMUSG00000094081,ENSMUSG00000094081.2,"predicted gene, 20826 [Source:MGI Symbol;Acc:MGI:5434182]",Gm20826
ENSMUSG00000101181,ENSMUSG00000101181.2,"vomeronasal 2, receptor, pseudogene 149 [Source:MGI Symbol;Acc:MGI:3761709]",Vmn2r-ps149
ENSMUSG00000100645,ENSMUSG00000100645.1,predicted gene 28576 [Source:MGI Symbol;Acc:MGI:5579282],Gm28576
ENSMUSG00000100124,ENSMUSG00000100124.1,predicted gene 28575 [Source:MGI Symbol;Acc:MGI:5579281],Gm28575
ENSMUSG00000101956,ENSMUSG00000101956.1,predicted gene 28574 [Source:MGI Symbol;Acc:MGI:5579280],Gm28574
ENSMUSG00000101351,ENSMUSG00000101351.1,predicted gene 28573 [Source:MGI Symbol;Acc:MGI:5579279],Gm28573
ENSMUSG00000100412,ENSMUSG00000100412.1,predicted gene 28572 [Source:MGI Symbol;Acc:MGI:5579278],Gm28572
ENSMUSG00000102026,ENSMUSG00000102026.1,predicted gene 28571 [Source:MGI Symbol;Acc:MGI:5579277],Gm28571
ENSMUSG00000099800,ENSMUSG00000099800.1,predicted gene 28570 [Source:MGI Symbol;Acc:MGI:5579276],Gm28570
ENSMUSG00000099861,ENSMUSG00000099861.1,predicted gene 29049 [Source:MGI Symbol;Acc:MGI:5579755],Gm29049
ENSMUSG00000095324,ENSMUSG00000095324.2,"predicted gene, 20825 [Source:MGI Symbol;Acc:MGI:5434181]",Gm20825
ENSMUSG00000101616,ENSMUSG00000101616.1,predicted gene 29047 [Source:MGI Symbol;Acc:MGI:5579753],Gm29047
ENSMUSG00000100312,ENSMUSG00000100312.1,predicted gene 29048 [Source:MGI Symbol;Acc:MGI:5579754],Gm29048
ENSMUSG00000100258,ENSMUSG00000100258.1,predicted gene 29045 [Source:MGI Symbol;Acc:MGI:5579751],Gm29045
ENSMUSG00000101229,ENSMUSG00000101229.1,predicted gene 29046 [Source:MGI Symbol;Acc:MGI:5579752],Gm29046
ENSMUSG00000101456,ENSMUSG00000101456.1,predicted gene 29043 [Source:MGI Symbol;Acc:MGI:5579749],Gm29043
ENSMUSG00000100421,ENSMUSG00000100421.1,predicted gene 29044 [Source:MGI Symbol;Acc:MGI:5579750],Gm29044
ENSMUSG00000103618,ENSMUSG00000103618.1,"predicted gene, 37951 [Source:MGI Symbol;Acc:MGI:5611179]",Gm37951
ENSMUSG00000101928,ENSMUSG00000101928.1,"predicted gene, 20824 [Source:MGI Symbol;Acc:MGI:5434180]",Gm20824
ENSMUSG00000100239,ENSMUSG00000100239.1,predicted gene 28146 [Source:MGI Symbol;Acc:MGI:5578852],Gm28146
ENSMUSG00000100460,ENSMUSG00000100460.1,predicted gene 28145 [Source:MGI Symbol;Acc:MGI:5578851],Gm28145
ENSMUSG00000101331,ENSMUSG00000101331.1,predicted gene 28148 [Source:MGI Symbol;Acc:MGI:5578854],Gm28148
ENSMUSG00000101366,ENSMUSG00000101366.1,predicted gene 28147 [Source:MGI Symbol;Acc:MGI:5578853],Gm28147
ENSMUSG00000101142,ENSMUSG00000101142.1,predicted gene 28142 [Source:MGI Symbol;Acc:MGI:5578848],Gm28142
ENSMUSG00000100047,ENSMUSG00000100047.1,predicted gene 28141 [Source:MGI Symbol;Acc:MGI:5578847],Gm28141
ENSMUSG00000101858,ENSMUSG00000101858.1,predicted gene 28144 [Source:MGI Symbol;Acc:MGI:5578850],Gm28144
ENSMUSG00000100933,ENSMUSG00000100933.1,predicted gene 28143 [Source:MGI Symbol;Acc:MGI:5578849],Gm28143
ENSMUSG00000100804,ENSMUSG00000100804.1,predicted gene 28150 [Source:MGI Symbol;Acc:MGI:5578856],Gm28150
ENSMUSG00000101672,ENSMUSG00000101672.1,predicted gene 28149 [Source:MGI Symbol;Acc:MGI:5578855],Gm28149
ENSMUSG00000099929,ENSMUSG00000099929.1,predicted gene 28098 [Source:MGI Symbol;Acc:MGI:5578804],Gm28098
ENSMUSG00000099939,ENSMUSG00000099939.1,predicted gene 28330 [Source:MGI Symbol;Acc:MGI:5579036],Gm28330
ENSMUSG00000100491,ENSMUSG00000100491.1,predicted gene 28331 [Source:MGI Symbol;Acc:MGI:5579037],Gm28331
ENSMUSG00000099566,ENSMUSG00000099566.1,predicted gene 28099 [Source:MGI Symbol;Acc:MGI:5578805],Gm28099
ENSMUSG00000101053,ENSMUSG00000101053.1,"predicted gene, 20815 [Source:MGI Symbol;Acc:MGI:5434171]",Gm20815
ENSMUSG00000101732,ENSMUSG00000101732.1,predicted gene 28328 [Source:MGI Symbol;Acc:MGI:5579034],Gm28328
ENSMUSG00000101056,ENSMUSG00000101056.1,predicted gene 28329 [Source:MGI Symbol;Acc:MGI:5579035],Gm28329
ENSMUSG00000099904,ENSMUSG00000099904.1,predicted gene 28270 [Source:MGI Symbol;Acc:MGI:5578976],Gm28270
ENSMUSG00000099523,ENSMUSG00000099523.1,predicted gene 28327 [Source:MGI Symbol;Acc:MGI:5579033],Gm28327
ENSMUSG00000100542,ENSMUSG00000100542.1,predicted gene 28097 [Source:MGI Symbol;Acc:MGI:5578803],Gm28097
ENSMUSG00000099956,ENSMUSG00000099956.1,predicted gene 29365 [Source:MGI Symbol;Acc:MGI:5580071],Gm29365
ENSMUSG00000100080,ENSMUSG00000100080.1,predicted gene 29364 [Source:MGI Symbol;Acc:MGI:5580070],Gm29364
ENSMUSG00000101441,ENSMUSG00000101441.1,predicted gene 29363 [Source:MGI Symbol;Acc:MGI:5580069],Gm29363
ENSMUSG00000091077,ENSMUSG00000091077.3,"predicted gene, 21292 [Source:MGI Symbol;Acc:MGI:5434647]",Gm21292
ENSMUSG00000094679,ENSMUSG00000094679.2,"predicted gene, 21721 [Source:MGI Symbol;Acc:MGI:5433885]",Gm21721
ENSMUSG00000100109,ENSMUSG00000100109.1,predicted gene 29366 [Source:MGI Symbol;Acc:MGI:5580072],Gm29366
ENSMUSG00000100848,ENSMUSG00000100848.1,predicted gene 29281 [Source:MGI Symbol;Acc:MGI:5579987],Gm29281
ENSMUSG00000100105,ENSMUSG00000100105.1,predicted gene 29330 [Source:MGI Symbol;Acc:MGI:5580036],Gm29330
ENSMUSG00000101095,ENSMUSG00000101095.1,predicted gene 29329 [Source:MGI Symbol;Acc:MGI:5580035],Gm29329
ENSMUSG00000094773,ENSMUSG00000094773.2,"predicted gene, 21812 [Source:MGI Symbol;Acc:MGI:5433976]",Gm21812
ENSMUSG00000099688,ENSMUSG00000099688.1,predicted gene 29535 [Source:MGI Symbol;Acc:MGI:5580241],Gm29535
ENSMUSG00000101094,ENSMUSG00000101094.1,predicted gene 29533 [Source:MGI Symbol;Acc:MGI:5580239],Gm29533
ENSMUSG00000101647,ENSMUSG00000101647.1,predicted gene 29534 [Source:MGI Symbol;Acc:MGI:5580240],Gm29534
ENSMUSG00000096223,ENSMUSG00000096223.2,"predicted gene, 21874 [Source:MGI Symbol;Acc:MGI:5434038]",Gm21874
